pytanie,odpowiedz 1,odpowiedz 2,odpowiedz 3,odpowiedz 4,poprawna,opis
"Czy zasada rozstrzygania wątpliwości prawnych na korzyść strony ma zastosowanie, gdy wymaga tego ważny interes publiczny?",Tak zawsze,Tylko za zgodą strony,Nie,Tylko w postępowaniu odwoławczym,3,Art. 7a § 2 przewiduje wyjątek m.in. ze względu na ważny interes publiczny.
Jak powinny współdziałać organy administracji publicznej?,Wyłącznie na żądanie sądu,Tylko w sprawach finansowych,Nie mają obowiązku współdziałania,W zakresie niezbędnym do dokładnego wyjaśnienia stanu faktycznego i prawnego oraz sprawnego załatwienia sprawy,4,Art. 7b nakazuje współdziałanie adekwatne do charakteru i złożoności sprawy.
W jaki sposób organ powinien prowadzić postępowanie zgodnie z zasadą zaufania?,"W sposób budzący zaufanie, z zachowaniem proporcjonalności, bezstronności i równego traktowania",Wyłącznie szybko,"Tylko zgodnie z utrwaloną praktyką, nawet gdy jest błędna",W sposób poufny wobec strony,1,"Art. 8 § 1 wskazuje zasady proporcjonalności, bezstronności i równego traktowania."
Czy organ może bez uzasadnionej przyczyny odstąpić od utrwalonej praktyki w takim samym stanie faktycznym i prawnym?,Tak zawsze,Nie,Tylko w pierwszej instancji,"Tak, jeśli zmienił się urzędnik prowadzący sprawę",2,Art. 8 § 2 zakazuje nieuzasadnionego odstępowania od utrwalonej praktyki.
Jaki obowiązek informacyjny ma organ wobec stron?,Informować wyłącznie o terminie decyzji,Informować tylko na pisemne żądanie,Należycie i wyczerpująco informować o okolicznościach faktycznych i prawnych mogących wpływać na ich prawa i obowiązki,Nie ma obowiązku informacyjnego,3,Art. 9 ustanawia szeroki obowiązek informowania stron i udzielania wyjaśnień.
"Czy organ powinien czuwać, aby strona nie poniosła szkody z powodu nieznajomości prawa?",Nie,Tylko gdy strona ma pełnomocnika,Wyłącznie w postępowaniu uproszczonym,Tak,4,Art. 9 nakazuje organowi udzielać niezbędnych wyjaśnień i wskazówek.
Czy strona ma prawo do czynnego udziału w każdym stadium postępowania?,Tak,Nie,Tylko w postępowaniu odwoławczym,Wyłącznie przed wydaniem decyzji,1,Art. 10 § 1 ustanawia zasadę czynnego udziału strony.
Kiedy organ może odstąpić od zapewnienia stronie czynnego udziału przed wydaniem decyzji?,Zawsze dla przyspieszenia sprawy,Gdy sprawa nie cierpi zwłoki ze względu na zagrożenie życia lub zdrowia albo grożącą niepowetowaną szkodę materialną,Wyłącznie na wniosek strony,Gdy sprawa jest skomplikowana,2,Art. 10 § 2 przewiduje wyjątkowe odstąpienie od tej zasady.
Jak organ utrwala przyczyny odstąpienia od zasady czynnego udziału strony?,W uchwale,W osobnej decyzji,W drodze adnotacji w aktach sprawy,Nie musi ich utrwalać,3,Art. 10 § 3 nakazuje utrwalić przyczyny w aktach w drodze adnotacji.
Jaki cel ma zasada przekonywania z art. 11 KPA?,Nakłonienie strony do wycofania wniosku,Zastąpienie uzasadnienia decyzji,Ograniczenie prawa do odwołania,"Wyjaśnienie stronom przesłanek rozstrzygnięcia, aby możliwie doprowadzić do wykonania decyzji bez środków przymusu",4,"Art. 11 nakazuje wyjaśniać zasadność przesłanek, którymi organ kieruje się przy załatwieniu sprawy."
Jak organy powinny działać zgodnie z zasadą szybkości i prostoty postępowania?,"Wnikliwie i szybko, posługując się możliwie najprostszymi środkami","Wyłącznie szybko, bez badania sprawy",Zawsze poprzez rozprawę,Wyłącznie pisemnie,1,"Art. 12 § 1 ustanawia zasadę wnikliwości, szybkości i prostoty."
"Jak powinny być załatwiane sprawy niewymagające zbierania dowodów, informacji lub wyjaśnień?",W ciągu miesiąca,Niezwłocznie,W ciągu 14 dni,W ciągu dwóch miesięcy,2,Art. 12 § 2 przewiduje niezwłoczne załatwianie takich spraw.
Czy organy powinny dążyć do polubownego rozstrzygania kwestii spornych?,Nie,Wyłącznie w postępowaniu odwoławczym,"Tak, gdy charakter sprawy na to pozwala",Tylko za zgodą wojewody,3,"Art. 13 nakazuje dążyć do polubownego rozstrzygania spraw, m.in. przez ugodę i mediację."
W jakiej postaci co do zasady prowadzi się i załatwia sprawy?,Wyłącznie papierowej,Wyłącznie ustnie,Wyłącznie elektronicznie,Na piśmie utrwalonym w postaci papierowej lub elektronicznej,4,Art. 14 § 1a przewiduje postać papierową lub elektroniczną.
Czy sprawa może zostać załatwiona ustnie lub telefonicznie?,"Tak, gdy przemawia za tym interes strony i prawo nie stoi temu na przeszkodzie",Nie,Tylko za zgodą sądu,Wyłącznie w postępowaniu skargowym,1,Art. 14 § 2 dopuszcza takie sposoby załatwienia sprawy przy spełnieniu wskazanych warunków.
Jak należy utrwalić ustne lub telefoniczne załatwienie sprawy?,Nie trzeba go utrwalać,W aktach w formie protokołu lub podpisanej przez stronę adnotacji,Wyłącznie nagraniem audio,W uchwale organu,2,Art. 14 § 2 wymaga utrwalenia treści i istotnych motywów.
Ile instancji ma co do zasady postępowanie administracyjne?,Jedną,Trzy,Dwie,Cztery,3,"Art. 15 ustanawia zasadę dwuinstancyjności, chyba że przepis szczególny stanowi inaczej."
Kiedy decyzja jest ostateczna?,Z chwilą podpisania przez urzędnika,Zawsze po 14 dniach,Dopiero po kontroli sądu administracyjnego,Gdy nie służy od niej odwołanie w administracyjnym toku instancji ani wniosek o ponowne rozpatrzenie sprawy,4,Art. 16 § 1 definiuje decyzję ostateczną.
Kiedy decyzja ostateczna jest prawomocna?,Gdy nie można jej zaskarżyć do sądu administracyjnego,Zawsze od chwili wydania,Po 30 dniach od doręczenia,Gdy organ pierwszej instancji tak postanowi,1,"Art. 16 § 3 stanowi, że decyzje ostateczne niezaskarżalne do sądu są prawomocne."
Jaki jest co do zasady organ wyższego stopnia wobec organów jednostek samorządu terytorialnego?,Wojewoda,Samorządowe kolegium odwoławcze,Minister właściwy do spraw administracji,Rada gminy,2,"Art. 17 pkt 1 wskazuje SKO, chyba że ustawy szczególne stanowią inaczej."
Czy organ administracji publicznej bada z urzędu swoją właściwość rzeczową i miejscową?,Nie,Tylko na zarzut strony,Tak,Wyłącznie organ odwoławczy,3,Art. 19 nakazuje przestrzegać właściwości rzeczowej i miejscowej z urzędu.
Jak ustala się właściwość rzeczową organu?,Według miejsca zamieszkania strony,Według wartości przedmiotu sprawy,Według wyboru strony,Według przepisów o zakresie jego działania,4,Art. 20 określa właściwość rzeczową przez zakres działania organu.
Jak ustala się właściwość miejscową w sprawach dotyczących nieruchomości?,Według miejsca położenia nieruchomości,Według miejsca zamieszkania właściciela,Według siedziby organu odwoławczego,Według miejsca zawarcia umowy,1,Art. 21 § 1 pkt 1 wskazuje miejsce położenia nieruchomości.
"Gdy nieruchomość leży na obszarze właściwości kilku organów, który organ jest właściwy?",Każdy z nich jednocześnie,"Ten, na którego obszarze znajduje się większa część nieruchomości",Organ wybrany przez stronę,Wojewoda,2,Art. 21 § 1 pkt 1 przyznaje właściwość organowi obejmującemu większą część nieruchomości.
Jak ustala się właściwość miejscową w sprawach dotyczących prowadzenia zakładu pracy?,Według miejsca zamieszkania pracownika,Według siedziby ZUS,"Według miejsca, w którym zakład jest, był lub ma być prowadzony",Według miejsca rejestracji podatkowej,3,Art. 21 § 1 pkt 2 wskazuje miejsce prowadzenia zakładu.
Kto rozstrzyga spory kompetencyjne między organami jednostek samorządu terytorialnego a organami administracji rządowej?,Wojewoda,Prezes Rady Ministrów,Samorządowe kolegium odwoławcze,Sąd administracyjny,4,Art. 22 § 2 powierza te spory sądowi administracyjnemu.
Co może robić organ do czasu rozstrzygnięcia sporu o właściwość?,Tylko czynności niecierpiące zwłoki ze względu na interes społeczny lub słuszny interes obywateli,W pełni prowadzić sprawę,Wydać decyzję kończącą postępowanie,Umorzyć sprawę,1,Art. 23 ogranicza działania organu do czynności niecierpiących zwłoki.
Czy pracownik podlega wyłączeniu w sprawie dotyczącej jego małżonka?,Nie,Tak,Tylko na wniosek strony,Wyłącznie gdy chodzi o interes majątkowy,2,Art. 24 § 1 pkt 2 przewiduje wyłączenie w sprawie małżonka.
Do którego stopnia pokrewieństwa i powinowactwa sięga ustawowa przesłanka wyłączenia pracownika?,Do pierwszego stopnia,Do trzeciego stopnia,Do drugiego stopnia,Do czwartego stopnia,3,Art. 24 § 1 pkt 2 obejmuje krewnych i powinowatych do drugiego stopnia.
"Czy pracownik, który brał udział w wydaniu zaskarżonej decyzji, podlega wyłączeniu?",Nie,Tylko w postępowaniu sądowym,Wyłącznie gdy zażąda tego strona,Tak,4,Art. 24 § 1 pkt 5 przewiduje wyłączenie takiego pracownika.
Czy przyczyna wyłączenia wynikająca z małżeństwa trwa po ustaniu małżeństwa?,Tak,Nie,Tylko przez rok,Wyłącznie do końca postępowania pierwszej instancji,1,Art. 24 § 2 przewiduje dalsze trwanie tej przyczyny.
Kto wyznacza innego pracownika po wyłączeniu pracownika prowadzącego sprawę?,Wojewoda,Jego bezpośredni przełożony,Strona,Organ odwoławczy,2,Art. 26 § 1 powierza to bezpośredniemu przełożonemu.
Kto jest stroną postępowania administracyjnego?,Każdy mieszkaniec gminy,Wyłącznie wnioskodawca,"Każdy, czyjego interesu prawnego lub obowiązku dotyczy postępowanie albo kto żąda czynności ze względu na swój interes prawny lub obowiązek",Wyłącznie właściciel nieruchomości,3,Art. 28 definiuje stronę przez interes prawny lub obowiązek.
Czy stroną może być osoba prawna?,Nie,Tylko jednostka samorządu terytorialnego,Wyłącznie osoba fizyczna,Tak,4,Art. 29 dopuszcza osoby fizyczne i prawne jako strony.
Czy jednostka organizacyjna bez osobowości prawnej może być stroną w przypadkach wskazanych w KPA?,Tak,Nie,Wyłącznie spółka cywilna,Tylko za zgodą organu,1,Art. 29 dopuszcza w określonych przypadkach także jednostki bez osobowości prawnej.
Według jakich przepisów ocenia się zdolność prawną i zdolność do czynności prawnych stron?,Według Kodeksu karnego,"Według przepisów prawa cywilnego, o ile przepisy szczególne nie stanowią inaczej",Według prawa administracyjnego wyłącznie,Według uznania organu,2,Art. 30 § 1 odsyła do prawa cywilnego.
Kiedy organizacja społeczna może żądać wszczęcia postępowania dotyczącego innej osoby?,Zawsze,Tylko za zgodą strony,Gdy jest to uzasadnione jej celami statutowymi i przemawia za tym interes społeczny,Wyłącznie gdy jest organizacją pożytku publicznego,3,Art. 31 § 1 wymaga celów statutowych i interesu społecznego.
Czy organizacja społeczna dopuszczona do postępowania uczestniczy na prawach strony?,Nie,Tylko jako świadek,Wyłącznie jako pełnomocnik,Tak,4,Art. 31 § 3 przyznaje jej prawa strony.
Czy na odmowę dopuszczenia organizacji społecznej do udziału w postępowaniu przysługuje zażalenie?,Tak,Nie,Tylko skarga do sądu,Wyłącznie odwołanie,1,Art. 31 § 2 przewiduje zażalenie.
Czy strona może działać przez pełnomocnika?,Nie,"Tak, chyba że charakter czynności wymaga osobistego działania",Wyłącznie w postępowaniu odwoławczym,Tylko za zgodą organu,2,Art. 32 dopuszcza działanie przez pełnomocnika z wyjątkiem czynności osobistych.
Kto może być pełnomocnikiem strony?,Wyłącznie adwokat,Wyłącznie radca prawny,Osoba fizyczna posiadająca zdolność do czynności prawnych,Każda osoba prawna,3,Art. 33 § 1 określa pełnomocnika jako osobę fizyczną posiadającą zdolność do czynności prawnych.
W jakiej formie udziela się pełnomocnictwa?,Wyłącznie w formie aktu notarialnego,Tylko ustnie,Wyłącznie elektronicznie,Na piśmie lub przez zgłoszenie do protokołu,4,Art. 33 § 2 przewiduje formę pisemną lub zgłoszenie do protokołu.
Czy w sprawie mniejszej wagi organ może nie żądać pełnomocnictwa od najbliższego członka rodziny lub domownika?,"Tak, jeśli nie ma wątpliwości co do istnienia i zakresu upoważnienia",Nie,Tylko za zgodą wojewody,Wyłącznie w postępowaniu uproszczonym,1,Art. 33 § 4 dopuszcza takie odstąpienie.
W jakim terminie co do zasady należy załatwić sprawę wymagającą postępowania wyjaśniającego?,W ciągu 7 dni,Nie później niż w ciągu miesiąca,W ciągu 14 dni,W ciągu dwóch miesięcy,2,Art. 35 § 3 przewiduje co do zasady termin miesiąca.
W jakim terminie należy załatwić sprawę szczególnie skomplikowaną?,W ciągu miesiąca,W ciągu 14 dni,Nie później niż w ciągu dwóch miesięcy od wszczęcia postępowania,W ciągu trzech miesięcy,3,Art. 35 § 3 przewiduje dla spraw szczególnie skomplikowanych termin dwóch miesięcy.
W jakim terminie należy załatwić sprawę w postępowaniu odwoławczym?,W ciągu 7 dni,W ciągu 14 dni,W ciągu dwóch miesięcy,W ciągu miesiąca od otrzymania odwołania,4,Art. 35 § 3 przewiduje termin miesiąca dla postępowania odwoławczego.
W jakim terminie należy załatwić sprawę w postępowaniu uproszczonym?,"Niezwłocznie, nie później niż w ciągu miesiąca",W ciągu 7 dni,W ciągu 14 dni,W ciągu dwóch miesięcy,1,"Art. 35 § 3a przewiduje niezwłoczne załatwienie, maksymalnie w miesiąc."
Czy okres zawieszenia postępowania wlicza się do terminów załatwiania spraw z art. 35?,Tak zawsze,Nie,Tylko połowę okresu,Wyłącznie w postępowaniu odwoławczym,2,Art. 35 § 5 wyłącza okres zawieszenia z biegu tych terminów.
"Co powinien zrobić organ, jeśli nie załatwi sprawy w terminie?",Umorzyć postępowanie,Wydać decyzję odmowną,"Zawiadomić strony, podać przyczyny zwłoki, wskazać nowy termin i pouczyć o prawie do ponaglenia",Przekazać sprawę organowi wyższego stopnia,3,Art. 36 § 1 określa obowiązki organu w razie przekroczenia terminu.
"Czy obowiązek zawiadomienia o zwłoce istnieje także wtedy, gdy opóźnienie wynika z przyczyn niezależnych od organu?",Nie,Tylko w sprawach skomplikowanych,Wyłącznie na żądanie strony,Tak,4,Art. 36 § 2 obejmuje również zwłokę z przyczyn niezależnych od organu.
Kiedy stronie służy ponaglenie z powodu bezczynności?,Gdy sprawy nie załatwiono w terminie ustawowym lub terminie wskazanym przez organ,Po każdej decyzji odmownej,Wyłącznie po dwóch miesiącach,Tylko gdy organ odmówi przyjęcia podania,1,Art. 37 § 1 pkt 1 definiuje bezczynność jako niezałatwienie sprawy w terminie.
Kiedy stronie służy ponaglenie z powodu przewlekłości?,Gdy organ wyda decyzję negatywną,Gdy postępowanie jest prowadzone dłużej niż jest to niezbędne do załatwienia sprawy,Gdy strona nie zgadza się z dowodem,Wyłącznie po upływie roku,2,Art. 37 § 1 pkt 2 definiuje przewlekłość.
Czy ponaglenie musi zawierać uzasadnienie?,Nie,Tylko gdy dotyczy przewlekłości,Tak,Wyłącznie gdy wnosi je pełnomocnik,3,Art. 37 § 2 wymaga uzasadnienia ponaglenia.
"Do kogo wnosi się ponaglenie, gdy istnieje organ wyższego stopnia?",Bezpośrednio do sądu administracyjnego,Do wojewody w każdym przypadku,Do organu prowadzącego bez pośrednictwa,Do organu wyższego stopnia za pośrednictwem organu prowadzącego postępowanie,4,Art. 37 § 3 pkt 1 wskazuje organ wyższego stopnia i pośrednictwo organu prowadzącego.
Co dzieje się z ponagleniem wniesionym przed upływem terminu załatwienia sprawy?,Pozostawia się je bez rozpoznania,Rozpatruje się je normalnie,Traktuje się jak odwołanie,Przekazuje się sądowi,1,Art. 37 § 3a przewiduje pozostawienie przedwczesnego ponaglenia bez rozpoznania.
W jakim terminie organ prowadzący postępowanie przekazuje ponaglenie organowi wyższego stopnia?,W ciągu 3 dni,Nie później niż w ciągu 7 dni,W ciągu 14 dni,W ciągu miesiąca,2,Art. 37 § 4 przewiduje termin siedmiu dni.
W jakim terminie co do zasady rozpatruje się ponaglenie?,W ciągu 14 dni,W ciągu miesiąca,W ciągu 7 dni od otrzymania,W ciągu dwóch miesięcy,3,Art. 37 § 5 przewiduje termin siedmiu dni.
Czy pracownik może ponosić odpowiedzialność za nieuzasadnione niezałatwienie sprawy w terminie lub przewlekłość?,Nie,Wyłącznie finansową,Tylko po wyroku sądu karnego,Tak,4,"Art. 38 przewiduje odpowiedzialność porządkową, dyscyplinarną lub inną."
Na jaki adres organ co do zasady doręcza pisma elektronicznie?,Na adres do doręczeń elektronicznych,Na dowolny adres e-mail,Wyłącznie na profil zaufany,Na adres zameldowania,1,Art. 39 § 1 przewiduje doręczenie na adres do doręczeń elektronicznych.
"Komu doręcza się pisma, gdy strona działa przez przedstawiciela?",Zawsze stronie,Przedstawicielowi,Organowi wyższego stopnia,Pełnomocnikowi innej strony,2,Art. 40 § 1 przewiduje doręczanie przedstawicielowi.
"Komu doręcza się pisma, gdy strona ustanowiła pełnomocnika?",Wyłącznie stronie,Przewodniczącemu rady,Pełnomocnikowi,Organowi odwoławczemu,3,Art. 40 § 2 przewiduje doręczenie pełnomocnikowi.
Czy strona ma obowiązek zawiadomić organ o zmianie adresu w toku postępowania?,Nie,Tylko gdy mieszka za granicą,Wyłącznie na żądanie organu,Tak,4,Art. 41 § 1 nakłada taki obowiązek.
Jaki skutek ma brak zawiadomienia o zmianie adresu?,Doręczenie na dotychczasowy adres ma skutek prawny,Wszystkie doręczenia są nieważne,Postępowanie ulega zawieszeniu,Organ musi sam ustalić nowy adres w każdym przypadku,1,Art. 41 § 2 przewiduje skuteczność doręczenia na dotychczasowy adres.
Gdzie co do zasady doręcza się pisma osobie fizycznej?,Wyłącznie w urzędzie,"W mieszkaniu, miejscu pracy albo na wskazany adres do korespondencji",Tylko w miejscu zameldowania,Wyłącznie przez sąd,2,Art. 42 § 1 określa podstawowe miejsca doręczenia.
Komu można doręczyć pismo pod nieobecność adresata?,Dowolnej osobie na ulicy,Wyłącznie pracodawcy adresata,"Dorosłemu domownikowi, sąsiadowi lub dozorcy, jeśli podjęli się oddania pisma adresatowi",Tylko małżonkowi,3,Art. 43 przewiduje doręczenie zastępcze wskazanym osobom.
Jak długo przechowuje się pismo w placówce pocztowej przy awizowaniu na podstawie art. 44?,7 dni,21 dni,30 dni,14 dni,4,Art. 44 § 1 przewiduje okres 14 dni.
"Po ilu dniach od pierwszego zawiadomienia pozostawia się powtórne zawiadomienie, jeśli przesyłki nie odebrano?",Po upływie 7 dni,Po 3 dniach,Po 10 dniach,Po 14 dniach,1,"Art. 44 § 2–3 przewiduje pierwszą możliwość odbioru w terminie siedmiu dni, a następnie powtórne zawiadomienie."
Kiedy przy awizowaniu uważa się doręczenie za dokonane?,W dniu pierwszego awiza,Z upływem ostatniego dnia 14-dniowego okresu przechowywania,W dniu drugiego awiza,Po 30 dniach,2,Art. 44 § 4 ustanawia fikcję doręczenia z upływem ostatniego dnia okresu.
Jaki skutek ma odmowa przyjęcia pisma przez adresata?,Doręczenie jest nieskuteczne,Trzeba ponowić doręczenie po 7 dniach,Pismo uważa się za doręczone w dniu odmowy,Postępowanie ulega zawieszeniu,3,Art. 47 § 2 przewiduje skutek doręczenia w dniu odmowy.
"Czy zawiadomienie stron może nastąpić przez publiczne obwieszczenie, jeśli przepis szczególny tak stanowi?",Nie,Wyłącznie gdy stron jest ponad 100,Tylko w postępowaniu podatkowym,Tak,4,Art. 49 § 1 dopuszcza publiczne obwieszczenie na podstawie przepisu szczególnego.
"Po jakim czasie od publicznego obwieszczenia zawiadomienie uważa się za dokonane, jeżeli przepis szczególny nie stanowi inaczej?",Po upływie 14 dni,Po 7 dniach,Po 30 dniach,W dniu publikacji,1,Art. 49 § 2 przewiduje co do zasady skutek po 14 dniach.
Kiedy organ może wzywać osoby do udziału w podejmowanych czynnościach i do złożenia wyjaśnień lub zeznań?,Zawsze bez związku ze sprawą,Gdy jest to niezbędne dla rozstrzygnięcia sprawy lub wykonywania czynności urzędowych,Wyłącznie na wniosek strony,Tylko w postępowaniu odwoławczym,2,"Art. 50 § 1 pozwala wzywać osoby, gdy jest to niezbędne dla rozstrzygnięcia sprawy lub czynności urzędowych."
"Czy organ powinien dołożyć starań, aby zadośćuczynienie wezwaniu nie było uciążliwe?",Nie,Tylko wobec świadków,Tak,Wyłącznie wobec osób starszych,3,Art. 50 § 2 nakazuje ograniczać uciążliwość wezwania.
"Czy osoba wezwana co do zasady ma obowiązek osobistego stawiennictwa tylko na obszarze gminy lub miasta, w którym mieszka lub przebywa?","Nie, zawsze w całym kraju",Tylko w obrębie powiatu,Wyłącznie w siedzibie organu,"Tak, z uwzględnieniem także gminy lub miasta sąsiedniego",4,Art. 51 ogranicza obowiązek osobistego stawiennictwa do określonego obszaru.
Czy organ może zwrócić się do innego organu o wezwanie osoby mieszkającej poza jego obszarem?,Tak,Nie,Tylko za zgodą strony,Wyłącznie przez sąd,1,Art. 52 przewiduje pomoc prawną innego organu przy przesłuchaniu lub czynności.
Co powinno zawierać wezwanie?,Wyłącznie datę i podpis,"M.in. oznaczenie organu, dane wzywanego, wskazanie sprawy, charakteru i celu wezwania oraz termin i miejsce",Tylko nazwę organu,Wyłącznie numer sprawy,2,Art. 54 określa elementy wezwania.
Czy wezwanie powinno wskazywać skutki prawne niezastosowania się do niego?,Nie,Tylko przy wezwaniu świadka,Tak,Wyłącznie gdy przewidziana jest grzywna powyżej 1000 zł,3,Art. 54 § 1 pkt 6 wymaga pouczenia o skutkach prawnych.
Czy w sprawach niecierpiących zwłoki można dokonać wezwania telefonicznie?,Nie,Tylko po zgodzie sądu,Wyłącznie gdy wezwana osoba jest stroną,Tak,4,Art. 55 dopuszcza pilne wezwanie m.in. telefonicznie lub innymi środkami łączności.
"Czy osobie, która stawiła się na wezwanie, przysługują koszty podróży i inne należności w przypadkach przewidzianych KPA?",Tak,Nie,Tylko świadkowi,Wyłącznie biegłemu,1,Art. 56 przewiduje zwrot należności w przypadkach określonych w przepisie.
"Jak oblicza się termin określony w dniach, jeśli początkiem terminu jest określone zdarzenie?",Zawsze wlicza się dzień zdarzenia,"Nie uwzględnia się dnia, w którym zdarzenie nastąpiło",Termin zaczyna się po dwóch dniach,Termin liczy się od końca tygodnia,2,"Art. 57 § 1 stanowi, że nie uwzględnia się dnia zdarzenia rozpoczynającego termin."
Kiedy upływa termin określony w tygodniach?,Zawsze w niedzielę,Po 5 dniach roboczych,Z upływem dnia w ostatnim tygodniu odpowiadającego nazwą dniowi początkowemu,Z końcem miesiąca,3,Art. 57 § 2 określa sposób liczenia terminów tygodniowych.
Kiedy upływa termin określony w miesiącach?,Zawsze po 30 dniach,Zawsze w ostatnim dniu miesiąca,Po 31 dniach,"Z upływem dnia w ostatnim miesiącu odpowiadającego datą dniowi początkowemu, a gdy takiego dnia nie ma – w ostatnim dniu miesiąca",4,Art. 57 § 3 określa sposób liczenia terminów miesięcznych.
"Co dzieje się, gdy koniec terminu przypada na sobotę lub dzień ustawowo wolny od pracy?","Termin upływa następnego dnia, który nie jest sobotą ani dniem ustawowo wolnym",Termin upływa mimo to,Termin skraca się do piątku,Termin przedłuża się o tydzień,1,Art. 57 § 4 przesuwa koniec terminu na następny dzień roboczy.
Kiedy termin uważa się za zachowany przy nadaniu pisma przesyłką pocztową?,Dopiero gdy organ otrzyma pismo,Gdy przed jego upływem pismo nadano w polskiej placówce operatora wyznaczonego albo w placówce operatora świadczącego pocztowe usługi powszechne w innym państwie UE,Tylko przy osobistym złożeniu,Wyłącznie przy przesyłce kurierskiej,2,Art. 57 § 5 określa przypadki zachowania terminu przez nadanie pisma.
Kiedy można przywrócić uchybiony termin?,Zawsze na żądanie,Tylko gdy organ popełnił błąd,"Gdy zainteresowany uprawdopodobni, że uchybienie nastąpiło bez jego winy",Wyłącznie w sprawach odwoławczych,3,Art. 58 § 1 uzależnia przywrócenie terminu od braku winy zainteresowanego.
W jakim terminie należy złożyć prośbę o przywrócenie terminu?,W ciągu 14 dni,W ciągu miesiąca,W ciągu 3 dni,W ciągu 7 dni od dnia ustania przyczyny uchybienia,4,Art. 58 § 2 przewiduje termin siedmiu dni.
Co należy zrobić jednocześnie z wniesieniem prośby o przywrócenie terminu?,"Dopełnić czynności, dla której termin był określony",Wnieść opłatę 100 zł,Złożyć skargę do sądu,Przedstawić dwóch świadków,1,Art. 58 § 2 wymaga jednoczesnego dokonania spóźnionej czynności.
Czy termin do złożenia prośby o przywrócenie terminu może być przywrócony?,Tak,Nie,Tylko raz,Wyłącznie przez organ wyższego stopnia,2,"Art. 58 § 3 stanowi, że tego terminu nie można przywrócić."
Kto postanawia o przywróceniu terminu?,Zawsze organ wyższego stopnia,Sąd powszechny,Właściwy w sprawie organ administracji publicznej,Wojewoda w każdej sprawie,3,Art. 59 § 1 powierza rozstrzygnięcie właściwemu organowi.
Kto postanawia o przywróceniu terminu do wniesienia odwołania lub zażalenia?,Organ pierwszej instancji,Sąd administracyjny,Strona przeciwna,Organ właściwy do rozpatrzenia odwołania lub zażalenia,4,Art. 59 § 2 powierza tę decyzję organowi odwoławczemu lub zażaleniowemu.
