pytanie,odpowiedz 1,odpowiedz 2,odpowiedz 3,odpowiedz 4,poprawna,opis
Ile form ochrony przyrody wymienia art. 6 ust. 1?,8,9,10,12,3,Art. 6 ust. 1 wylicza dziesięć form ochrony przyrody.
Która z poniższych NIE jest samodzielną formą ochrony przyrody wymienioną w art. 6?,Park narodowy,Użytek ekologiczny,Pomnik przyrody,Otulina,4,"Otulina jest strefą ochronną związaną z formą ochrony przyrody, ale nie jest odrębną formą z katalogu art. 6."
Jaka jest minimalna powierzchnia parku narodowego według ustawy?,1000 ha,100 ha,500 ha,2000 ha,1,Park narodowy obejmuje obszar o powierzchni nie mniejszej niż 1000 ha.
Jaki status prawny ma park narodowy?,Jest jednostką budżetową gminy.,Jest państwową osobą prawną.,Jest organem administracji rządowej.,Jest państwową jednostką organizacyjną bez osobowości prawnej.,2,"Art. 8a stanowi, że park narodowy jest państwową osobą prawną."
Kto jest organem parku narodowego?,Rada naukowa parku narodowego,Minister właściwy do spraw środowiska,Dyrektor parku narodowego,Regionalny dyrektor ochrony środowiska,3,Art. 8c wskazuje dyrektora parku narodowego jako organ parku.
Kto powołuje dyrektora parku narodowego?,Prezes Rady Ministrów,Wojewoda,Sejmik województwa,Minister właściwy do spraw środowiska,4,Dyrektora parku narodowego powołuje minister właściwy do spraw środowiska spośród osób wyłonionych w otwartym i konkurencyjnym naborze.
W jakiej formie następuje określenie i zmiana granic parku narodowego?,W drodze rozporządzenia Rady Ministrów,W drodze uchwały sejmiku województwa,W drodze zarządzenia regionalnego dyrektora ochrony środowiska,W drodze uchwały rady gminy,1,Art. 10 przewiduje rozporządzenie Rady Ministrów jako formę określenia i zmiany granic parku narodowego.
Co ustawa stanowi o otulinie parku narodowego?,Otulina może być wyznaczona tylko za zgodą właścicieli.,Na obszarach graniczących z parkiem narodowym wyznacza się otulinę.,Otuliny nie wyznacza się dla parków narodowych.,Otulina jest wyznaczana wyłącznie na obszarach miejskich.,2,"Art. 11 ust. 1 stanowi, że na obszarach graniczących z parkiem narodowym wyznacza się otulinę."
Kto ustala wysokość opłat za wstęp do parku narodowego?,Minister właściwy do spraw środowiska,Rada gminy,Dyrektor parku narodowego,Regionalny dyrektor ochrony środowiska,3,Wysokość opłat za wstęp i udostępnianie parku ustala dyrektor parku narodowego.
Od dzieci w jakim wieku nie pobiera się opłat za wstęp do parku narodowego?,Do 6 lat,Do 10 lat,Do 12 lat,Do 7 lat,4,Ustawa zwalnia z opłat za wstęp dzieci w wieku do 7 lat.
Kto uznaje obszar za rezerwat przyrody?,Regionalny dyrektor ochrony środowiska w drodze zarządzenia będącego aktem prawa miejscowego,Rada Ministrów w drodze rozporządzenia,Sejmik województwa w drodze uchwały,Rada gminy w drodze uchwały,1,Rezerwat przyrody ustanawia regionalny dyrektor ochrony środowiska w formie zarządzenia będącego aktem prawa miejscowego.
Kto tworzy park krajobrazowy?,Regionalny dyrektor ochrony środowiska w drodze zarządzenia,Sejmik województwa w drodze uchwały,Rada Ministrów w drodze rozporządzenia,Rada gminy w drodze uchwały,2,Utworzenie parku krajobrazowego następuje w drodze uchwały sejmiku województwa.
Kto wyznacza obszar chronionego krajobrazu?,Minister właściwy do spraw środowiska,Regionalny dyrektor ochrony środowiska,Sejmik województwa w drodze uchwały,Starosta,3,Obszar chronionego krajobrazu wyznacza sejmik województwa w drodze uchwały.
Dla których form sporządza się i realizuje plan ochrony na podstawie art. 18?,Wyłącznie dla parków narodowych,Dla wszystkich dziesięciu form ochrony przyrody,Wyłącznie dla obszarów Natura 2000 i parków narodowych,"Dla parków narodowych, rezerwatów przyrody i parków krajobrazowych",4,"Art. 18 wymienia park narodowy, rezerwat przyrody i park krajobrazowy."
"W jakim terminie co do zasady ustanawia się plan ochrony dla parku narodowego, rezerwatu lub parku krajobrazowego?",W ciągu 5 lat od utworzenia lub uznania danej formy,W ciągu 1 roku,W ciągu 3 lat,W ciągu 10 lat,1,Art. 18 ust. 2 przewiduje termin 5 lat.
"Na jaki okres sporządza się plan ochrony dla parku narodowego, rezerwatu przyrody i parku krajobrazowego?",5 lat,20 lat,10 lat,30 lat,2,"Art. 20 ust. 1 stanowi, że plan ochrony sporządza się na okres 20 lat."
Na jaki maksymalny okres mogą być ustanowione zadania ochronne dla parku narodowego lub rezerwatu?,Na 1 rok,Na 3 lata,Na 5 lat,Na 10 lat,3,"Zadania ochronne mogą być ustanawiane na rok lub kolejne lata, jednak nie dłużej niż na 5 lat."
Z jakich trzech rodzajów obszarów składa się sieć Natura 2000?,"Parków narodowych, rezerwatów i parków krajobrazowych","Obszarów chronionego krajobrazu, użytków ekologicznych i pomników przyrody",Wyłącznie obszarów ochrony ptaków i siedlisk,"Obszarów specjalnej ochrony ptaków, specjalnych obszarów ochrony siedlisk i obszarów mających znaczenie dla Wspólnoty",4,Art. 25 wskazuje trzy elementy sieci Natura 2000.
Kto opracowuje projekt listy obszarów Natura 2000?,Generalny Dyrektor Ochrony Środowiska,Minister właściwy do spraw środowiska,Regionalny dyrektor ochrony środowiska,Sejmik województwa,1,Projekt listy obszarów Natura 2000 opracowuje Generalny Dyrektor Ochrony Środowiska.
Jaki termin mają właściwe miejscowo rady gmin na opinię projektu listy obszarów Natura 2000?,14 dni,30 dni,21 dni,60 dni,2,Niezłożenie opinii w terminie 30 dni od otrzymania projektu uznaje się za brak uwag.
W jakim terminie sporządza się pierwszy projekt planu zadań ochronnych dla obszaru Natura 2000?,W ciągu 2 lat,W ciągu 5 lat,W ciągu 6 lat od zatwierdzenia obszaru przez Komisję Europejską lub wyznaczenia obszaru specjalnej ochrony ptaków,W ciągu 10 lat,3,Art. 28 ust. 1 przewiduje termin 6 lat dla pierwszego projektu planu zadań ochronnych.
Kto co do zasady ustanawia plan zadań ochronnych dla obszaru Natura 2000?,Generalny Dyrektor Ochrony Środowiska,Minister właściwy do spraw środowiska,Rada gminy,Regionalny dyrektor ochrony środowiska,4,Plan zadań ochronnych ustanawia regionalny dyrektor ochrony środowiska w drodze zarządzenia jako aktu prawa miejscowego.
Jakiego rodzaju działania są co do zasady zabronione na obszarze Natura 2000?,Działania mogące znacząco negatywnie oddziaływać na cele ochrony tego obszaru,Wszelka działalność rolnicza,Każdy ruch turystyczny,Każda działalność gospodarcza bez wyjątku,1,Art. 33 zakazuje działań mogących znacząco negatywnie oddziaływać na cele ochrony obszaru Natura 2000.
Kiedy może zostać dopuszczony plan lub działanie znacząco negatywnie oddziałujące na Natura 2000?,Zawsze po uzyskaniu zgody rady gminy,"Gdy przemawiają za tym konieczne wymogi nadrzędnego interesu publicznego, brak rozwiązań alternatywnych i zostanie zapewniona kompensacja przyrodnicza",Wyłącznie gdy inwestycja jest prywatna,Po zapłaceniu opłaty środowiskowej bez innych warunków,2,"Art. 34 wymaga nadrzędnego interesu publicznego, braku alternatyw i zapewnienia kompensacji przyrodniczej."
Kto ponosi koszty kompensacji przyrodniczej związanej z planem lub przedsięwzięciem oddziałującym na Natura 2000?,Skarb Państwa,Gmina,Podmiot realizujący plan lub przedsięwzięcie,Regionalna dyrekcja ochrony środowiska,3,Koszty kompensacji przyrodniczej ponosi podmiot realizujący plan lub przedsięwzięcie.
"Czy działalność gospodarcza, rolna, leśna, łowiecka i rybacka na obszarze Natura 2000 jest zawsze zakazana?","Tak, zawsze.","Nie, ale wyłącznie za zgodą rady gminy.","Tak, z wyjątkiem gospodarki leśnej.","Nie, jeżeli nie oddziałuje znacząco negatywnie na cele ochrony obszaru, z uwzględnieniem dodatkowych zakazów parków narodowych i rezerwatów.",4,"Art. 36 dopuszcza taką działalność, jeśli nie oddziałuje znacząco negatywnie na cele ochrony Natura 2000."
Kto składa Komisji Europejskiej raporty i notyfikacje dotyczące obszarów Natura 2000?,Generalny Dyrektor Ochrony Środowiska,Regionalny dyrektor ochrony środowiska,Minister finansów,Marszałek województwa,1,Art. 38 przypisuje to zadanie Generalnemu Dyrektorowi Ochrony Środowiska.
Co może być pomnikiem przyrody?,Wyłącznie pojedyncze drzewo rodzimego gatunku,Pojedynczy twór przyrody żywej lub nieożywionej albo ich skupisko o szczególnej wartości i indywidualnych cechach,Wyłącznie obszar o powierzchni co najmniej 1 ha,Wyłącznie obiekt przyrody nieożywionej,2,Definicja pomnika przyrody obejmuje twory przyrody żywej i nieożywionej oraz ich skupiska.
Kto ustanawia pomnik przyrody?,Sejmik województwa,Regionalny dyrektor ochrony środowiska,Rada gminy w drodze uchwały,Minister właściwy do spraw środowiska,3,"Art. 44 stanowi, że pomnik przyrody ustanawia rada gminy w drodze uchwały."
Który przykład najlepiej odpowiada stanowisku dokumentacyjnemu?,Miejski park rekreacyjny,Korytarz migracyjny zwierząt,Każdy las ochronny,"Ważne naukowo miejsce występowania formacji geologicznych, skamieniałości lub tworów mineralnych",4,"Stanowiska dokumentacyjne dotyczą m.in. ważnych naukowo formacji geologicznych, skamieniałości i tworów mineralnych."
Czym są użytki ekologiczne?,Zasługującymi na ochronę pozostałościami ekosystemów mającymi znaczenie dla zachowania różnorodności biologicznej,Wyłącznie gruntami rolnymi objętymi dopłatami,Terenami przeznaczonymi wyłącznie do edukacji,Obszarami zawsze większymi niż 100 ha,1,Użytki ekologiczne chronią pozostałości ekosystemów ważne dla zachowania różnorodności biologicznej.
Czym są zespoły przyrodniczo-krajobrazowe?,Wyłącznie zespołami zabytkowych budynków,Fragmentami krajobrazu naturalnego i kulturowego zasługującymi na ochronę ze względu na walory widokowe lub estetyczne,Obszarami przeznaczonymi do ochrony jednego gatunku,Wyłącznie terenami leśnymi,2,Art. 43 definiuje je przez walory widokowe lub estetyczne krajobrazu naturalnego i kulturowego.
Co obejmuje ochrona gatunkowa?,Wyłącznie żywe okazy zwierząt,Wyłącznie siedliska na obszarach Natura 2000,"Okazy gatunków oraz siedliska i ostoje roślin, zwierząt i grzybów",Wyłącznie gatunki o znaczeniu priorytetowym,3,"Art. 46 wskazuje, że ochrona gatunkowa obejmuje zarówno okazy, jak i siedliska oraz ostoje."
Gdzie mogą być chronione ex situ gatunki zagrożone wyginięciem w środowisku przyrodniczym?,Wyłącznie w parkach narodowych,Wyłącznie w rezerwatach przyrody,Wyłącznie w ośrodkach rehabilitacji zwierząt,"W ogrodach zoologicznych, ogrodach botanicznych lub bankach genów",4,"Art. 47 przewiduje ochronę ex situ w ogrodach zoologicznych, botanicznych lub bankach genów."
"Kto określa w rozporządzeniach gatunki roślin, zwierząt i grzybów objęte ochroną gatunkową?",Minister właściwy do spraw środowiska w porozumieniu z ministrem właściwym do spraw rolnictwa,Generalny Dyrektor Ochrony Środowiska samodzielnie,Sejmik województwa,Rada Ministrów,1,Art. 48–50 powierzają to ministrowi właściwemu do spraw środowiska działającemu w porozumieniu z ministrem właściwym do spraw rolnictwa.
Kto może na terenie województwa czasowo objąć ochroną gatunki niewymienione w ogólnokrajowych przepisach ochronnych?,Starosta,Regionalny dyrektor ochrony środowiska,Wójt,Dyrektor parku krajobrazowego,2,Art. 53 pozwala regionalnemu dyrektorowi ochrony środowiska wprowadzić taką ochronę czasowo w drodze zarządzenia.
Czy utworzenie i prowadzenie ogrodu botanicznego lub zoologicznego wymaga zezwolenia?,"Nie, wystarcza zgłoszenie do gminy.","Tak, zezwolenia starosty.","Tak, zezwolenia Generalnego Dyrektora Ochrony Środowiska","Tak, zezwolenia wojewody.",3,Art. 67 wymaga zezwolenia Generalnego Dyrektora Ochrony Środowiska.
Jak traktuje się brak opinii właściwych podmiotów w ciągu 30 dni w postępowaniu o zezwolenie na ogród botaniczny lub zoologiczny?,Jako opinię negatywną,Jako podstawę do umorzenia postępowania,Jako konieczność ponownego wystąpienia o opinię,Jako opinię pozytywną,4,Niewyrażenie opinii w terminie 30 dni uznaje się za opinię pozytywną.
Która kategoria zwierząt niebezpiecznych obejmuje najbardziej niebezpieczne gatunki lub grupy gatunków?,Kategoria I,Kategoria II,Kategoria III,Kategoria IV,1,Art. 73 zalicza najbardziej niebezpieczne gatunki lub grupy gatunków do kategorii I.
Kto wydaje zezwolenie na utworzenie i prowadzenie ośrodka rehabilitacji zwierząt?,Regionalny dyrektor ochrony środowiska,Generalny Dyrektor Ochrony Środowiska,Wójt,Starosta,2,Art. 75 wymaga zezwolenia Generalnego Dyrektora Ochrony Środowiska.
Czy zwierzęta objęte leczeniem i rehabilitacją w ośrodku rehabilitacji mogą być sprzedawane?,"Tak, bez ograniczeń.","Tak, za zgodą wójta.",Nie,"Tak, po zakończeniu leczenia.",3,Art. 76 ust. 1 wprost zakazuje sprzedaży zwierząt objętych leczeniem i rehabilitacją w ośrodku.
"Jak często regionalny dyrektor ochrony środowiska przeprowadza co najmniej kontrole ogrodów botanicznych, zoologicznych, ośrodków i azyli?",Co roku,Nie rzadziej niż raz na 5 lat,Wyłącznie na wniosek Generalnego Dyrektora Ochrony Środowiska,Nie rzadziej niż raz na 3 lata,4,Art. 77 przewiduje kontrolę nie rzadziej niż raz na 3 lata.
Jaki obowiązek mają organy gminy w zakresie terenów zieleni i zadrzewień?,Zakładać i utrzymywać je w należytym stanie,Wyłącznie prowadzić ich ewidencję,Przekazywać je w zarząd powiatu,Obowiązkowo obejmować je ochroną pomnikową,1,Art. 78 ust. 1 nakłada na organy gminy obowiązek zakładania i utrzymywania terenów zieleni i zadrzewień.
Jaki udział powierzchni biologicznie czynnej należy w miarę możliwości zapewnić przy zakładaniu terenu zieleni?,Co najmniej 50%,Co najmniej 90% powierzchni terenu zieleni,Co najmniej 60%,Co najmniej 75%,2,"Art. 78 ust. 2 wskazuje, że w miarę możliwości powierzchnia biologicznie czynna powinna zajmować co najmniej 90%."
Kiedy rada gminy może uznać teren za park gminny?,Wyłącznie gdy teren jest własnością Skarbu Państwa,Tylko gdy teren ma co najmniej 10 ha,"Gdy teren poza obrębem miast i wsi o zwartej zabudowie jest pokryty drzewostanem, nie jest objęty ochroną zabytków i spełnione są warunki własności lub zgody właściciela",Wyłącznie po zgodzie ministra właściwego do spraw środowiska,3,"Art. 81 określa warunki uznania terenu za park gminny, w tym kwestie własności lub zgody właściciela."
Kto co do zasady wydaje zezwolenie na usunięcie drzewa lub krzewu z nieruchomości?,Starosta,Regionalny dyrektor ochrony środowiska,Marszałek województwa,"Wójt, burmistrz albo prezydent miasta",4,"Art. 83a ust. 1 wskazuje wójta, burmistrza albo prezydenta miasta jako organ właściwy co do zasady."
Kto wydaje zezwolenie na usunięcie drzewa lub krzewu z nieruchomości lub jej części wpisanej do rejestru zabytków?,Wojewódzki konserwator zabytków,Wójt,Starosta,Regionalny dyrektor ochrony środowiska,1,Dla nieruchomości lub jej części wpisanej do rejestru zabytków właściwy jest wojewódzki konserwator zabytków.
"Z kim uzgadnia się zezwolenie na usunięcie drzewa w pasie drogowym drogi publicznej, z wyłączeniem obcych gatunków topoli?",Z dyrektorem parku narodowego,Z regionalnym dyrektorem ochrony środowiska,Z marszałkiem województwa,Z Generalnym Dyrektorem Dróg Krajowych i Autostrad w każdym przypadku,2,Art. 83a ust. 2a wymaga uzgodnienia z regionalnym dyrektorem ochrony środowiska.
"Co stosuje się, gdy liczba stron postępowania o zezwolenie na usunięcie drzewa lub krzewu przekracza 20?",Art. 10 Kodeksu cywilnego,Przepisy Kodeksu karnego,Art. 49 Kodeksu postępowania administracyjnego,Wyłącznie przepisy ustawy o drogach publicznych,3,Art. 83a ust. 7 odsyła w takim przypadku do art. 49 KPA.
Na jakiej wysokości mierzy się obwód pnia podawany we wniosku o zezwolenie na usunięcie drzewa?,5 cm,50 cm,100 cm,130 cm,4,Art. 83b wymaga podania obwodu pnia mierzonego na wysokości 130 cm.
Co organ robi przed wydaniem zezwolenia na usunięcie drzewa lub krzewu w związku z gatunkami chronionymi?,Dokonuje oględzin w zakresie występowania gatunków chronionych,Zawsze zleca ekspertyzę sądową,Zawsze odmawia zezwolenia,Przekazuje sprawę Generalnemu Dyrektorowi Ochrony Środowiska,1,Art. 83c ust. 1 nakazuje dokonanie oględzin w zakresie występowania gatunków chronionych.
Od czego może być uzależnione wydanie zezwolenia na usunięcie drzewa lub krzewu?,Wyłącznie od zapłaty kaucji,Od wykonania nasadzeń zastępczych lub przesadzenia drzewa albo krzewu,Wyłącznie od zgody rady gminy,Od obowiązkowego ustanowienia pomnika przyrody,2,Art. 83c ust. 3 pozwala uzależnić zezwolenie od nasadzeń zastępczych lub przesadzenia.
Która informacja należy do elementów zezwolenia na usunięcie drzewa lub krzewu?,Numer PESEL wszystkich sąsiadów,Wartość rynkowa nieruchomości,Termin usunięcia drzewa lub krzewu,Numer księgi wieczystej każdej sąsiedniej działki,3,Art. 83d wymienia m.in. termin usunięcia drzewa lub krzewu jako element zezwolenia.
"Kto ponosi odszkodowanie za usunięcie drzewa lub krzewu na wniosek właściciela urządzeń przesyłowych, np. sieci wodnej, gazowej lub energetycznej (art. 49 § 1 Kodeksu cywilnego)?",Gmina,Skarb Państwa,Właściciel nieruchomości,Właściciel urządzeń,4,"Art. 83e stanowi, że odszkodowanie przysługuje od właściciela urządzeń."
"Co się dzieje, jeżeli strony nie uzgodnią wysokości odszkodowania za usunięcie drzewa lub krzewu w ciągu 30 dni od usunięcia?","Odszkodowanie ustala organ, który wydał zezwolenie",Roszczenie wygasa,Odszkodowanie ustala sąd karny,Odszkodowanie automatycznie wynosi dwukrotność opłaty za usunięcie,1,"Po 30 dniach bez umowy odszkodowanie ustala organ, który wydał zezwolenie."
Do jakiej powierzchni skupiska krzewów nie stosuje się obowiązku uzyskania zezwolenia z art. 83 ust. 1?,Do 10 m²,Do 25 m²,Do 50 m²,Do 100 m²,2,Art. 83f ust. 1 pkt 1 wyłącza skupiska krzewów o powierzchni do 25 m².
"Jaki próg obwodu pnia na wysokości 5 cm dotyczy topoli, wierzb, klonu jesionolistnego i klonu srebrzystego?",50 cm,65 cm,80 cm,100 cm,3,Dla tych gatunków próg wskazany w art. 83f wynosi 80 cm.
"Jaki próg obwodu pnia na wysokości 5 cm dotyczy kasztanowca zwyczajnego, robinii akacjowej i platanu klonolistnego?",50 cm,80 cm,100 cm,65 cm,4,Dla tych gatunków próg wskazany w art. 83f wynosi 65 cm.
Jaki próg obwodu pnia na wysokości 5 cm dotyczy pozostałych gatunków drzew niewymienionych w progach 80 i 65 cm?,50 cm,40 cm,65 cm,80 cm,1,Dla pozostałych gatunków art. 83f przewiduje próg 50 cm.
"Czy właściciel będący osobą fizyczną, usuwający drzewo na cel niezwiązany z działalnością gospodarczą, zawsze może usunąć je bez żadnej procedury?","Tak, zawsze.","Nie, po przekroczeniu ustawowych progów obwodu wymagane jest zgłoszenie zamiaru usunięcia drzewa.","Nie, zawsze wymagane jest pełne zezwolenie.","Tak, ale tylko w parku narodowym.",2,"Dla osób fizycznych art. 83f przewiduje zwolnienie z zezwolenia, lecz przy przekroczeniu progów obwodu obowiązuje zgłoszenie."
Co musi zawierać zgłoszenie zamiaru usunięcia drzewa przez osobę fizyczną w trybie art. 83f?,Wyłącznie nazwę gatunku drzewa,Operat szacunkowy nieruchomości,"Imię i nazwisko, oznaczenie nieruchomości oraz rysunek albo mapkę określającą usytuowanie drzewa",Projekt nasadzeń zastępczych w każdym przypadku,3,Art. 83f ust. 5 wymienia te trzy podstawowe elementy zgłoszenia.
W jakim terminie od doręczenia zgłoszenia organ dokonuje oględzin drzewa?,7 dni,14 dni,30 dni,21 dni,4,Art. 83f ust. 6 przewiduje 21 dni na dokonanie oględzin.
"Co należy zrobić, jeżeli zgłoszone drzewo nie zostanie usunięte w ciągu 6 miesięcy od oględzin?",Dokonać ponownego zgłoszenia zamiaru usunięcia drzewa,Uzyskać zgodę sądu,Zapłacić automatycznie opłatę,"Nic, zgłoszenie jest ważne bezterminowo",1,Art. 83f ust. 13 wymaga ponownego zgłoszenia po upływie 6 miesięcy od oględzin.
Kto ponosi opłatę za usunięcie drzewa lub krzewu?,"Zawsze właściciel nieruchomości, niezależnie od posiadania",Posiadacz nieruchomości,Regionalny dyrektor ochrony środowiska,Gmina,2,Art. 84 ust. 1 wskazuje posiadacza nieruchomości jako podmiot ponoszący opłatę.
"Na jaki okres odracza się termin uiszczenia opłaty, gdy zezwolenie uzależniono od przesadzenia lub nasadzeń zastępczych?",Na 1 rok,Na 2 lata,Na 3 lata,Na 5 lat,3,Art. 84 ust. 3 przewiduje odroczenie na okres 3 lat.
Jak oblicza się opłatę za usunięcie drzewa?,Mnożąc wysokość drzewa przez stawkę opłaty,Mnożąc powierzchnię korony przez stawkę,Na podstawie wartości nieruchomości,Mnożąc liczbę centymetrów obwodu pnia mierzonego na wysokości 130 cm przez stawkę opłaty,4,Art. 85 ust. 1 określa taki sposób obliczenia opłaty.
Jak przyjmuje się obwód drzewa mającego kilka pni na wysokości 130 cm na potrzeby opłaty?,Jako sumę obwodu największego pnia i połowy obwodów pozostałych pni,Jako sumę pełnych obwodów wszystkich pni,Wyłącznie jako obwód największego pnia,Jako średnią arytmetyczną obwodów wszystkich pni,1,Art. 85 ust. 2 pkt 1 nakazuje zsumować największy obwód i połowę obwodów pozostałych pni.
Jak oblicza się opłatę za usunięcie krzewu?,Mnożąc liczbę pędów przez stawkę,Mnożąc liczbę metrów kwadratowych powierzchni gruntu pokrytej krzewami przez stawkę opłaty,Mnożąc wysokość krzewu przez stawkę,Na podstawie liczby lat krzewu,2,Art. 85 ust. 3 wiąże opłatę z powierzchnią gruntu pokrytą usuwanymi krzewami.
Jaka jest maksymalna ustawowa stawka opłaty za usuwanie drzew?,200 zł,300 zł,500 zł,1000 zł,3,"Art. 85 ust. 5 stanowi, że stawki opłat za usuwanie drzew nie mogą przekraczać 500 zł."
Jaka jest maksymalna ustawowa stawka opłaty za usuwanie krzewów?,100 zł,500 zł,1000 zł,200 zł,4,"Art. 85 ust. 6 stanowi, że stawki opłat za usuwanie krzewów nie mogą przekraczać 200 zł."
Po jakim czasie przedawnia się obowiązek uiszczenia opłaty za usunięcie drzewa lub krzewu?,"Po 5 latach, licząc od końca roku, w którym upłynął termin uiszczenia opłaty",Po 2 latach od wydania zezwolenia,Po 3 latach od usunięcia drzewa,Po 10 latach od końca roku wydania decyzji,1,"Art. 87 ust. 1 przewiduje pięcioletni termin liczony od końca roku, w którym upłynął termin płatności."
Jaki jest co do zasady termin uiszczenia opłaty po uzyskaniu ostatecznego zezwolenia na usunięcie drzewa lub krzewu albo decyzji ustalającej taką opłatę (art. 87)?,7 dni,14 dni,21 dni,30 dni,2,Art. 87 ust. 3 przewiduje co do zasady termin 14 dni.
Na jaki maksymalny okres można rozłożyć opłatę za usunięcie drzewa lub krzewu na raty lub przesunąć termin płatności z powodu sytuacji materialnej?,Na 1 rok,Na 5 lat,Na 3 lata,Na 10 lat,3,Art. 87 ust. 6 przewiduje okres nie dłuższy niż 3 lata.
"Kiedy usunięcie gałęzi stanowi uszkodzenie drzewa, jeżeli nie zachodzi jeden z ustawowych wyjątków?",Gdy przekracza 10% korony,Gdy przekracza 20% korony,Dopiero gdy przekracza 50% korony,Gdy przekracza 30% korony rozwiniętej w całym okresie rozwoju drzewa,4,Art. 87a ust. 4 kwalifikuje takie usunięcie ponad 30% korony jako uszkodzenie drzewa.
"Kiedy usunięcie gałęzi stanowi zniszczenie drzewa, jeżeli nie zachodzi jeden z ustawowych wyjątków?",Gdy przekracza 50% korony rozwiniętej w całym okresie rozwoju drzewa,Gdy przekracza 20% korony,Gdy przekracza 30% korony,Gdy przekracza 40% korony,1,Art. 87a ust. 5 kwalifikuje usunięcie ponad 50% korony jako zniszczenie drzewa.
Jak długo należy przechowywać dokumentację specjalistycznego zabiegu wykonanego w celu przywrócenia statyki drzewa?,1 rok,"5 lat od końca roku, w którym wykonano zabieg",3 lata,10 lat,2,Art. 87a ust. 3 przewiduje pięcioletni okres przechowywania dokumentacji.
