pytanie,odpowiedz 1,odpowiedz 2,odpowiedz 3,odpowiedz 4,poprawna,opis
Który przykład najlepiej odpowiada obiektowi małej architektury?,Podziemny zbiornik retencyjny.,Wolno stojący maszt antenowy.,Wolno stojący budynek gospodarczy.,Ogrodowa fontanna lub piaskownica.,4,Art. 3 pkt 4 wymienia m.in. wodotryski i obiekty codziennej rekreacji; pozostałe obiekty należą do innych kategorii.
Co może stanowić prawo do dysponowania nieruchomością na cele budowlane?,Samo posiadanie projektu budowlanego sporządzonego przez architekta.,Sama zgoda sąsiada na prowadzenie robót przy granicy.,"Tytuł prawny, np. własność lub umowa dająca uprawnienie do robót.",Sama decyzja o warunkach zabudowy dla działki.,3,"Art. 3 pkt 11 wymaga tytułu prawnego uprawniającego do robót, np. własności, użytkowania wieczystego albo odpowiedniego stosunku zobowiązaniowego."
Czym jest obszar oddziaływania obiektu?,"Terenem, z którego obiekt będzie widoczny po wybudowaniu.",Wyłącznie terenem zajętym przez fundamenty i zaplecze budowy.,"Terenem, na którym odrębne przepisy ograniczają zabudowę z powodu danego obiektu.",Zawsze całą działką inwestora i działkami bezpośrednio sąsiednimi.,3,"Art. 3 pkt 20 wiąże obszar oddziaływania z ograniczeniami w zabudowie wynikającymi z przepisów, nie z samą bliskością obiektu."
Kiedy właściciel gruntu może skorzystać z prawa zabudowy?,"Gdy inwestor ma prawo do gruntu, choć zamierzenie narusza plan miejscowy.","Gdy ma prawo do dysponowania nieruchomością na cele budowlane, a zamierzenie jest zgodne z przepisami.","Gdy inwestor ma zgodę właściciela sąsiedniej działki, lecz nie ma prawa do własnej.","Gdy zamierzenie jest zgodne z planem, choć inwestor nie ma tytułu do gruntu.",2,Art. 4 łączy prawo zabudowy z tytułem do nieruchomości i zgodnością zamierzenia z przepisami.
Kto jest uczestnikiem procesu budowlanego w rozumieniu Prawa budowlanego?,"Projektant, geodeta, rzeczoznawca oraz właściciel sąsiedniej działki.","Inwestor, organ nadzoru budowlanego, wykonawca oraz użytkownik obiektu.","Inwestor, wykonawca, starosta oraz wojewódzki konserwator zabytków.","Inwestor, projektant, kierownik budowy lub robót oraz inspektor nadzoru inwestorskiego.",4,"Art. 17 wymienia cztery ustawowe role; inne osoby i organy mogą działać przy budowie, ale nie są tu wymienionymi uczestnikami."
Kto zapewnia zorganizowanie procesu budowy i objęcie budowy kierownictwem?,Organ wydający pozwolenie na budowę.,Inspektor nadzoru inwestorskiego.,Projektant.,Inwestor.,4,"Art. 18 nakłada organizację procesu budowy na inwestora, w tym zapewnienie kierownika budowy i wykonania robót przez osoby o właściwych kwalifikacjach."
Kto określa obszar oddziaływania projektowanego obiektu?,Organ nadzoru budowlanego po zakończeniu budowy.,Projektant.,Kierownik budowy.,Inspektor nadzoru inwestorskiego.,2,Art. 20 ust. 1 pkt 1c zalicza określenie obszaru oddziaływania obiektu do obowiązków projektanta.
Kto sporządza lub zapewnia sporządzenie planu bezpieczeństwa i ochrony zdrowia przed rozpoczęciem budowy?,Wojewódzki inspektor nadzoru budowlanego.,Kierownik budowy.,Właściciel nieruchomości sąsiedniej.,Projektant na etapie odbioru obiektu.,2,"Art. 21a ust. 1 nakłada na kierownika budowy przygotowanie planu przed rozpoczęciem budowy, na podstawie informacji od projektanta."
Czy kierownik budowy może jednocześnie pełnić funkcję inspektora nadzoru inwestorskiego na tej samej budowie?,"Tak, jeżeli ma uprawnienia w obu specjalnościach.","Tak, jeśli inwestor wyrazi pisemną zgodę.","Nie, tych funkcji nie wolno łączyć.","Tak, gdy budowa dotyczy tylko jednego obiektu.",3,"Art. 24 ust. 1 zakazuje łączenia tych funkcji, bo inspektor kontroluje m.in. działania kierownika budowy."
Kto prowadzi dokumentację budowy i przygotowuje dokumentację powykonawczą?,Kierownik budowy.,Projektant.,Starosta jako organ wydający pozwolenie.,Inspektor nadzoru inwestorskiego.,1,Art. 22 pkt 2 i 8 przypisuje te obowiązki kierownikowi budowy; dokumentacja powykonawcza odzwierciedla zmiany wykonane podczas robót.
Kto sprawdza i odbiera roboty ulegające zakryciu lub zanikające w ramach nadzoru inwestorskiego?,Organ administracji architektoniczno-budowlanej.,"Wójt, burmistrz lub prezydent miasta.",Inspektor nadzoru inwestorskiego.,Projektant sprawdzający projekt budowlany.,3,Art. 25 pkt 3 powierza inspektorowi sprawdzanie i odbiór takich robót przed ich zakryciem; kierownik zgłasza je do sprawdzenia.
"Co powinien zrobić kierownik budowy, gdy stwierdzi możliwość powstania zagrożenia podczas robót?","Poprosić inspektora o wpis do dziennika, lecz samemu nie wstrzymywać robót.",Wstrzymać roboty i bezzwłocznie zawiadomić właściwy organ.,Wstrzymać roboty dopiero po zgodzie wszystkich uczestników budowy.,Kontynuować roboty do czasu otrzymania decyzji o wstrzymaniu.,2,Art. 22 pkt 4 nakazuje kierownikowi wstrzymanie robót i niezwłoczne zawiadomienie organu w razie grożącego niebezpieczeństwa.
Kiedy można zasadniczo rozpocząć roboty budowlane wymagające pozwolenia?,Po zaakceptowaniu projektu przez kierownika budowy.,Po złożeniu samego wniosku o pozwolenie.,Po uzyskaniu wyłącznie decyzji o warunkach zabudowy.,Po uzyskaniu decyzji o pozwoleniu na budowę.,4,Art. 28 ust. 1 ustanawia zasadę decyzji o pozwoleniu przed robotami; wyjątki dotyczą m.in. robót objętych zgłoszeniem.
Kto jest stroną postępowania o pozwolenie na budowę?,Wyłącznie inwestor i projektant składający dokumentację.,Każda osoba mieszkająca przy drodze prowadzącej do budowy.,"Inwestor oraz właściciele, użytkownicy wieczyści lub zarządcy nieruchomości w obszarze oddziaływania.","Inwestor oraz wszyscy mieszkańcy gminy, w której powstaje obiekt.",3,Art. 28 ust. 2 określa strony przez tytuł do nieruchomości leżącej w obszarze oddziaływania obiektu.
"Jakie formalności budowlane co do zasady dotyczą robót przy obiekcie wpisanym do rejestru zabytków, choć zwykle byłyby zwolnione z pozwolenia?",Wymagana jest decyzja o pozwoleniu na budowę.,Wystarczy zwykłe zgłoszenie do organu budowlanego.,Nie są wymagane żadne formalności budowlane.,Wystarczy oświadczenie kierownika budowy o zgodności prac.,1,Art. 29 ust. 7 pkt 1 wymaga wtedy pozwolenia na budowę; ust. 8 przewiduje szczególny wyjątek dla wskazanych masztów telekomunikacyjnych.
Jakie formalności budowlane co do zasady dotyczą robót zwolnionych z pozwolenia na obszarze wpisanym do rejestru zabytków?,"Zawsze wymagają pozwolenia na budowę, także bez innych przesłanek.",Wymagają zgłoszenia organowi administracji architektoniczno-budowlanej.,Wymagają tylko zawiadomienia organu nadzoru budowlanego.,"Nie wymagają zgłoszenia, jeżeli obiekt nie jest osobno zabytkiem.",2,Art. 29 ust. 7 pkt 2 wymaga wtedy zgłoszenia organowi budowlanemu; ust. 8 przewiduje wyjątek dla wskazanych masztów telekomunikacyjnych.
Co dołącza się do wniosku lub zgłoszenia robót objętych art. 29 ust. 7 przy zabytku wpisanym do rejestru lub na takim obszarze?,Opinię konserwatora o stanie zabytku zamiast pozwolenia lub wymaganego zaświadczenia.,"Samo potwierdzenie wysłania zgłoszenia konserwatorskiego, bez zaświadczenia o braku sprzeciwu.","Wyłącznie oświadczenie inwestora, że konserwator nie zgłosił zastrzeżeń.",Pozwolenie konserwatora albo zaświadczenie o zgłoszeniu konserwatorskim bez sprzeciwu.,4,Od 3 czerwca 2026 r. art. 29 ust. 7 dopuszcza odpowiednią ścieżkę konserwatorską: pozwolenie lub zaświadczenie o zgłoszeniu bez sprzeciwu.
Czy zgłoszenie robót wojewódzkiemu konserwatorowi zastępuje formalności wymagane przez Prawo budowlane?,"Tak, ale tylko przy obiektach wpisanych do rejestru.","Nie, formalności konserwatorskie i budowlane są odrębne.","Tak, jeżeli roboty nie zmieniają bryły budynku.","Tak, zawsze zastępuje pozwolenie na budowę.",2,Art. 39 ust. 1 i art. 29 ust. 7 łączą obie ścieżki; skuteczne zgłoszenie konserwatorskie nie znosi wymogu pozwolenia lub zgłoszenia budowlanego.
Kiedy można wystąpić o odstępstwo od przepisów techniczno-budowlanych?,"W szczególnie uzasadnionym przypadku, przy spełnieniu warunków bezpieczeństwa i innych wymagań.","Tylko wtedy, gdy budynek znajduje się poza obszarem zabudowanym.",Wyłącznie po zakończeniu budowy i odbiorze obiektu.,"Zawsze, gdy inwestor uzna przepis za zbyt kosztowny.",1,"Art. 9 ust. 1 dopuszcza odstępstwo wyjątkowo, bez zagrożenia życia i mienia oraz bez niedopuszczalnego pogorszenia innych warunków."
Kto wyraża zgodę na odstępstwo od przepisów techniczno-budowlanych w postępowaniu budowlanym?,Wojewódzki inspektor nadzoru budowlanego po zakończeniu budowy.,Właściciele sąsiednich działek przez pisemne oświadczenie.,Sam projektant przez wpis do projektu budowlanego.,"Organ administracji architektoniczno-budowlanej w postanowieniu, po upoważnieniu ministra.",4,Art. 9 ust. 2 wymaga upoważnienia ministra ustanawiającego przepisy; organ budowlany rozstrzyga o odstępstwie przed decyzją o pozwoleniu.
Jakiego dodatkowego dokumentu wymaga wniosek o odstępstwo techniczne dotyczące obiektu wpisanego do rejestru lub gminnej ewidencji zabytków?,Zgody wszystkich właścicieli zabytków w tej samej gminie.,Pozytywnej opinii wojewódzkiego konserwatora zabytków o odstępstwie.,Zgody rady gminy na odstąpienie od planu miejscowego.,Postanowienia powiatowego inspektora nadzoru budowlanego o legalizacji.,2,Art. 9 ust. 3 pkt 4 wymaga pozytywnej opinii konserwatora także dla obiektów na obszarach ochrony konserwatorskiej.
Czy przepisy o odstępstwie technicznym pozwalają pogorszyć warunki zdrowotno-sanitarne obiektu?,"Nie, odstępstwo nie może prowadzić do takiego pogorszenia.","Tak, jeśli obiekt jest wpisany do rejestru zabytków.","Tak, jeżeli zgadza się na to wykonawca.","Tak, jeśli koszt dostosowania obiektu jest zbyt wysoki.",1,Art. 9 ust. 1 zakazuje m.in. pogorszenia warunków zdrowotno-sanitarnych i użytkowych oraz zagrożenia bezpieczeństwa.
"Jakie dodatkowe formalności poprzedzają roboty przy obiekcie wpisanym do rejestru zabytków, jeśli potrzebne jest pozwolenie na budowę?",Pozwolenie budowlane uzyskuje się bez udziału konserwatora.,Konserwator rozstrzyga dopiero po oddaniu obiektu do użytkowania.,Pozwolenie konserwatora albo skuteczne zgłoszenie konserwatorskie przed formalnością budowlaną.,Wystarczy sama opinia projektanta o historycznej wartości obiektu.,3,Aktualny art. 39 ust. 1 wymaga odpowiednio pozwolenia konserwatorskiego albo skutecznego zgłoszenia konserwatorskiego przed formalnością budowlaną.
"Jak traktuje się obiekt ujęty w gminnej ewidencji zabytków, lecz niewpisany do rejestru, przy wydawaniu pozwolenia na budowę?",Organ budowlany wydaje pozwolenie w uzgodnieniu z wojewódzkim konserwatorem zabytków.,Organ nadzoru budowlanego wydaje pozwolenie po zakończeniu robót.,Ujęcie w ewidencji nie ma znaczenia przy żadnej decyzji budowlanej.,Pozwolenie wydaje sam wojewódzki konserwator zabytków.,1,Art. 39 ust. 3 przewiduje uzgodnienie pozwolenia na budowę lub rozbiórkę dla obiektów i obszarów ujętych w gminnej ewidencji.
Ile czasu ma wojewódzki konserwator zabytków na stanowisko w sprawie pozwolenia dotyczącego obiektu ujętego w gminnej ewidencji?,60 dni od doręczenia pozwolenia budowlanego.,30 dni od doręczenia wniosku.,90 dni od rozpoczęcia robót budowlanych.,14 dni od złożenia wniosku przez inwestora.,2,Art. 39 ust. 4 daje konserwatorowi 30 dni na stanowisko w sprawie uzgodnienia; brak stanowiska oznacza brak zastrzeżeń do projektu.
Jaki skutek ma brak stanowiska konserwatora w terminie przy uzgadnianiu pozwolenia dla obiektu z gminnej ewidencji?,Oznacza automatyczne skreślenie obiektu z gminnej ewidencji.,Uznaje się go za brak zastrzeżeń do przedstawionych rozwiązań projektowych.,Oznacza automatyczne wydanie decyzji o pozwoleniu przez konserwatora.,Powoduje nieważność całego postępowania o pozwolenie na budowę.,2,Art. 39 ust. 4 przewiduje brak zastrzeżeń po 30 dniach bez stanowiska; nie jest to skreślenie z ewidencji ani samodzielne pozwolenie.
Co musi poprzedzić pozwolenie na rozbiórkę obiektu wpisanego do rejestru zabytków?,Upływ 30 dni bez uwag wojewódzkiego konserwatora.,Samo zawiadomienie gminy o zamiarze rozbiórki.,Decyzja Generalnego Konserwatora Zabytków o skreśleniu obiektu z rejestru.,Zgoda kierownika budowy na rozebranie obiektu.,3,Art. 39 ust. 2 uzależnia wydanie pozwolenia na rozbiórkę zarejestrowanego obiektu od wcześniejszego skreślenia go z rejestru.
Czy uproszczony tryb rozbiórki budynków poniżej 8 m stosuje się do obiektów wpisanych do rejestru zabytków?,"Tak, niezależnie od ochrony konserwatorskiej.","Tak, jeśli inwestor złoży plan sytuacyjny.","Nie, ustawa wyłącza jego stosowanie wobec takich obiektów.","Tak, jeśli rozbiórka trwa krócej niż 30 dni.",3,Art. 31 ust. 1b wyłącza uproszczenia z ust. 1 i wybrane zwolnienia z ust. 1a dla obiektów wpisanych do rejestru lub objętych ochroną konserwatorską.
Kiedy można rozpocząć pilne roboty zabezpieczające lub rozbiórkowe przed formalnością budowlaną?,Gdy projektant uzna budynek za nieestetyczny; formalność nie jest potrzebna.,Gdy obiekt jest pusty; zgłoszenia dokonuje się po roku.,Gdy mają usunąć bezpośrednie zagrożenie ludzi lub mienia; formalność trzeba dopełnić niezwłocznie.,Gdy właściciel chce obniżyć koszty prac; formalność można pominąć.,3,"Art. 31a dopuszcza niezwłoczne prace dla usunięcia bezpośredniego zagrożenia, ale nie zwalnia z uzyskania pozwolenia lub zgłoszenia."
Czy nakaz rozbiórki nieużytkowanego obiektu nienadającego się do remontu dotyczy obiektu wpisanego do rejestru zabytków?,"Tak, gdy sam właściciel chce go rozebrać.","Nie, ten tryb nakazu nie obejmuje obiektu wpisanego do rejestru.","Tak, jeśli budynek nie był używany przez trzy lata.","Tak, nakaz wydaje się bez udziału konserwatora.",2,Art. 67 ust. 2 wyłącza obiekty wpisane do rejestru spod nakazu rozbiórki przewidzianego dla nieużytkowanych lub niewykończonych obiektów.
"Jak wydaje się nakaz rozbiórki nieużytkowanego obiektu chronionego planem miejscowym, jeśli nie jest wpisany do rejestru?",Na podstawie samej opinii kierownika budowy.,Wyłącznie po wcześniejszym skreśleniu obiektu z rejestru.,Po uzgodnieniu z wojewódzkim konserwatorem zabytków.,Bez żadnego udziału konserwatora zabytków.,3,"Art. 67 ust. 3 wymaga uzgodnienia z konserwatorem, gdy obiekt jest chroniony planem miejscowym, ale nie wpisano go do rejestru."
Ile czasu ma konserwator na stanowisko przy uzgodnieniu nakazu rozbiórki obiektu chronionego planem miejscowym?,14 dni; brak stanowiska oznacza odmowę.,60 dni; brak stanowiska oznacza skreślenie z ewidencji.,90 dni; brak stanowiska oznacza pozwolenie na budowę.,30 dni; brak stanowiska oznacza uzgodnienie.,4,Art. 67 ust. 4 przewiduje 30 dni na stanowisko w sprawie uzgodnienia nakazu; milczenie jest równoznaczne z uzgodnieniem.
Czy zmiana wymagań z pozwolenia konserwatorskiego zawsze oznacza istotne odstąpienie od projektu budowlanego?,"Tak, każda zmiana wymaga nowego pozwolenia na budowę.",Nie zawsze; po uzgodnieniu zmiany z konserwatorem działa wyjątek ustawowy.,"Tak, każdą zmianę kwalifikuje jako istotną sam inwestor.","Nie, żadna zmiana przy zabytku nie może być istotna.",2,Art. 36a ust. 5b pkt 2 lit. b przewiduje wyjątek przy uzgodnieniu z konserwatorem; kwalifikację odstąpienia wykonuje projektant.
Kto kwalifikuje zamierzone odstąpienie od projektu jako istotne lub nieistotne?,Organ nadzoru budowlanego po zakończeniu budowy.,Kierownik robót.,Właściciel działki sąsiedniej.,Projektant.,4,"Art. 36a ust. 6 powierza kwalifikację projektantowi, który przy zmianie nieistotnej dołącza rysunek i opis do dokumentacji."
Co jest potrzebne przy istotnym odstąpieniu od zatwierdzonego projektu podczas budowy na podstawie pozwolenia?,Ponowne zgłoszenie robót zamiast zmiany istniejącego pozwolenia.,"Samo naniesienie zmian w projekcie przez projektanta, bez zmiany pozwolenia.",Decyzja o zmianie pozwolenia na budowę.,Zatwierdzenie zmian dopiero przy wydaniu pozwolenia na użytkowanie.,3,Art. 36a ust. 1 wymaga zmiany pozwolenia przy istotnym odstąpieniu od projektu lub innych warunków pozwolenia.
Czy zmiana zamierzonego sposobu użytkowania obiektu może być istotnym odstąpieniem od projektu?,"Tylko wtedy, gdy budynek jest wysoki.","Tylko wtedy, gdy inwestor zmienia właściciela obiektu.","Nie, sposób użytkowania nie wpływa na projekt.","Tak, ustawa zalicza ją do istotnych odstąpień.",4,Art. 36a ust. 5 pkt 4 wprost wymienia zmianę zamierzonego sposobu użytkowania obiektu lub jego części.
Kiedy zmiana powierzchni zabudowy jest istotnym odstąpieniem według wskazanego w ustawie progu?,Gdy przekracza 2% zatwierdzonej powierzchni zabudowy.,Gdy przekracza 10% zatwierdzonej powierzchni zabudowy.,Gdy przekracza 5% zatwierdzonej powierzchni zabudowy.,Gdy przekracza 1% zatwierdzonej powierzchni zabudowy.,3,Art. 36a ust. 5 pkt 2 lit. a wskazuje próg ponad 5% dla powierzchni zabudowy; inne przesłanki istotności stosuje się osobno.
Kiedy pozwolenie na budowę wygasa wskutek nierozpoczęcia budowy?,Po 10 latach od sporządzenia projektu budowlanego.,Po roku od dnia wydania decyzji.,Po 5 latach od złożenia wniosku o pozwolenie.,"Po 3 latach od dnia, gdy decyzja stała się ostateczna.",4,Art. 37 ust. 1 przewiduje wygaśnięcie po 3 latach bez rozpoczęcia budowy albo po przerwie w budowie dłuższej niż 3 lata.
Po jakiej przerwie w budowie wygasa pozwolenie na budowę?,Po każdej przerwie przekraczającej 30 dni.,Po przerwie dłuższej niż 5 lat.,Po przerwie dłuższej niż rok.,Po przerwie dłuższej niż 3 lata.,4,Art. 37 ust. 1 dotyczy przerwy dłuższej niż 3 lata; ten sam przepis reguluje trzyletni termin na rozpoczęcie budowy.
Kto wydaje pozwolenie na budowę w typowej sprawie jako organ pierwszej instancji?,Główny Inspektor Nadzoru Budowlanego.,Starosta.,Wojewódzki konserwator zabytków.,Powiatowy inspektor nadzoru budowlanego.,2,Art. 82 ust. 2 wskazuje starostę jako zasadniczy organ pierwszej instancji w administracji architektoniczno-budowlanej.
Kto jako organ pierwszej instancji prowadzi sprawy budowlane dotyczące obiektów na obszarze kolejowym?,Powiatowy inspektor nadzoru budowlanego.,Wojewoda.,Burmistrz właściwej gminy.,Starosta.,2,Art. 82 ust. 3 zalicza obiekty na obszarze kolejowym do spraw wojewody jako organu pierwszej instancji.
Co musi zapewnić inwestor przed rozpoczęciem robót objętych pozwoleniem na budowę?,"Projekt techniczny, jeśli jest wymagany, i inspektora nadzoru inwestorskiego w każdej sprawie.",Projekt zagospodarowania terenu zamiast projektu technicznego oraz kierownika robót.,"Wyłącznie ustanowienie kierownika budowy, bez zapewnienia wymaganego projektu technicznego.","Sporządzenie projektu technicznego, jeśli jest wymagany, oraz ustanowienie kierownika budowy.",4,Art. 42 ust. 1 nakłada przed rozpoczęciem takich robót obowiązki dotyczące projektu technicznego i kierownika budowy.
Kiedy inwestor musi ustanowić kierownika robót w określonej specjalności?,Gdy kierownik budowy ma uprawnienia w tej samej specjalności co planowane roboty.,Dopiero po zakończeniu robót w dodatkowej specjalności i przed odbiorem.,Gdy roboty wymagają przygotowania w specjalności innej niż posiada kierownik budowy.,"Zawsze, gdy w projekcie wskazano więcej niż jedną specjalność budowlaną.",3,"Art. 42 ust. 4 nakazuje zapewnić kierownika robót w potrzebnej specjalności, jeśli kierownik budowy jej nie posiada."
Czym jest dziennik budowy?,Rejestrem decyzji o warunkach zabudowy prowadzonym przez gminę.,Urzędowym dokumentem zapisującym przebieg robót oraz istotne zdarzenia w ich toku.,Dokumentem wydawanym dopiero po uzyskaniu pozwolenia na użytkowanie.,Wyłącznie prywatnym notesem wykonawcy z wykazem kosztów.,2,Art. 47a określa dziennik jako urzędowy zapis przebiegu robót i zdarzeń ważnych dla oceny prawidłowości ich wykonania.
Jak prowadzi się dziennik budowy dla kilku obiektów wymagających formalności budowlanych?,Jeden dziennik dla wszystkich obiektów w całym powiecie.,Jeden dziennik dla wszystkich inwestycji danego wykonawcy.,Tylko jeden dziennik dla wszystkich obiektów danego inwestora.,Co do zasady odrębnie dla każdego obiektu.,4,Art. 47b ust. 1 przewiduje oddzielny dziennik dla każdego obiektu; odcinki obiektu liniowego mogą mieć dzienniki odrębne.
"Co robi inwestor, gdy do robót musi wejść na sąsiednią nieruchomość?",Zwraca się wyłącznie do kierownika budowy o zgodę na wejście.,"Najpierw uzyskuje zgodę uprawnionego i uzgadnia sposób, zakres oraz termin korzystania.","Wchodzi bez zgody, jeśli ma własne pozwolenie na budowę.",Odkłada uzgodnienia do chwili zakończenia robót.,2,"Art. 47 ust. 1 nakazuje uzgodnić dostęp przed rozpoczęciem prac, także ewentualną rekompensatę."
"Kto rozstrzyga o niezbędności wejścia na sąsiednią nieruchomość, gdy inwestor nie uzgodnił tego z uprawnionym?",Organ administracji architektoniczno-budowlanej na wniosek inwestora.,Projektant przez wpis do dziennika budowy.,Powiatowy inspektor nadzoru budowlanego bez wniosku.,Wojewódzki konserwator zabytków w każdej sprawie.,1,"Art. 47 ust. 2 przewiduje decyzję organu budowlanego na wniosek inwestora, z określeniem granic i warunków korzystania."
Kto naprawia szkody powstałe wskutek korzystania z sąsiedniej nieruchomości podczas robót?,Kierownik budowy prowadzący roboty na sąsiedniej działce.,Wykonawca robót jako strona umowy z inwestorem.,"Właściciel nieruchomości, na którą trzeba wejść.","Inwestor, na zasadach wynikających z Kodeksu cywilnego.",4,Art. 47 ust. 3 obciąża inwestora naprawieniem szkód powstałych przy korzystaniu z sąsiedniej nieruchomości.
"Co robi organ nadzoru, gdy budowa trwa bez wymaganego pozwolenia albo zgłoszenia?",Wydaje postanowienie o wstrzymaniu budowy i informuje o możliwości legalizacji.,Z urzędu wydaje pozwolenie na użytkowanie obiektu.,Uznaje budowę za legalną po upływie 14 dni.,Przekazuje sprawę wyłącznie do sądu cywilnego.,1,Art. 48 ust. 1 i 3 nakazuje wstrzymanie samowoli oraz informację o możliwości złożenia wniosku o legalizację.
Który pełny zestaw podmiotów może wystąpić o legalizację po wstrzymaniu samowolnej budowy?,"Inwestor, właściciel albo zarządca obiektu.","Inwestor, projektant albo organ nadzoru budowlanego.","Właściciel sąsiedniej nieruchomości, starosta albo wykonawca robót.","Projektant, kierownik budowy albo inspektor nadzoru inwestorskiego.",1,"Art. 48a ust. 1 wskazuje inwestora, właściciela i zarządcę jako uprawnionych do złożenia wniosku o legalizację."
Jaki jest zwykły termin na wniosek o legalizację po doręczeniu postanowienia o wstrzymaniu budowy?,14 dni.,30 dni.,7 dni.,90 dni.,2,Art. 48a ust. 1 daje 30 dni na wniosek; wniesienie zażalenia przesuwa początek biegu terminu na ostateczność postanowienia.
Kto może złożyć wniosek o pozwolenie na budowę zamiast zgłoszenia dla robót objętych tym trybem?,Inwestor.,Projektant sporządzający dokumentację dla inwestora.,Kierownik budowy ustanowiony przed rozpoczęciem robót.,Organ nadzoru budowlanego kontrolujący później obiekt.,1,Art. 29 ust. 5 dopuszcza wybór pozwolenia zamiast zgłoszenia przez inwestora dla wskazanych tam robót.
